,State,Year,Deaths,Pop,Percent
544,Mississippi,2005,202,2905943,6.95127E-05
545,Mississippi,2006,278,2904978,9.56978E-05
546,Mississippi,2007,281,2928350,9.59585E-05
547,Mississippi,2008,271,2947806,9.19328E-05
548,Mississippi,2009,279,2958774,9.42958E-05
549,Mississippi,2010,278,2967297,9.3688E-05
550,Mississippi,2011,275,2977999,9.23439E-05
551,Mississippi,2012,294,2985660,9.84707E-05
552,Mississippi,2013,294,2990976,9.82957E-05
553,Mississippi,2014,330,2993443,0.000110241
554,Mississippi,2015,323,2992333,0.000107943
555,Tennessee,1999,235,5638706,4.16762E-05
556,Tennessee,2000,281,5689283,4.93911E-05
557,Tennessee,2001,334,5750789,5.8079E-05
558,Tennessee,2002,387,5795918,6.67711E-05
559,Tennessee,2003,494,5847812,8.4476E-05
560,Tennessee,2004,576,5910809,9.74486E-05
561,Tennessee,2005,676,5991057,0.000112835
562,Tennessee,2006,738,6088766,0.000121207
563,Tennessee,2007,798,6175727,0.000129216
564,Tennessee,2008,802,6247411,0.000128373
565,Tennessee,2009,851,6306019,0.00013495
566,Tennessee,2010,974,6346105,0.00015348
567,Tennessee,2011,1004,6398408,0.000156914
568,Tennessee,2012,1050,6455469,0.000162653
569,Tennessee,2013,1067,6496130,0.000164252
570,Tennessee,2014,1178,6547779,0.000179908
571,Tennessee,2015,1326,6600299,0.0002009
572,Arkansas,1999,35,2651860,1.31983E-05
573,Arkansas,2000,61,2673400,2.28174E-05
574,Arkansas,2001,52,2691571,1.93196E-05
575,Arkansas,2002,76,2705927,2.80865E-05
576,Arkansas,2003,78,2724816,2.86258E-05
577,Arkansas,2004,106,2749686,3.85499E-05
578,Arkansas,2005,120,2781097,4.31484E-05
579,Arkansas,2006,150,2821761,5.31583E-05
580,Arkansas,2007,162,2848650,5.6869E-05
581,Arkansas,2008,231,2874554,8.03603E-05
582,Arkansas,2009,262,2896843,9.04433E-05
583,Arkansas,2010,257,2915918,8.81369E-05
