County,County Code,Year,Race,Race Code,Deaths,Population,Crude Rate,Age Adjusted Rate
"Clermont County, OH",39025,2009,Black or African American,2054-5,14,2880,486.1 (Unreliable),743.3 (Unreliable)
"Clermont County, OH",39025,2009,White,2106-3,1423,190870,745.5,793.2
"Clermont County, OH",39025,2010,Black or African American,2054-5,17,2897,586.8 (Unreliable),913.7 (Unreliable)
"Clermont County, OH",39025,2010,White,2106-3,1525,191674,795.6,842.2
"Clinton County, OH",39027,2000,White,2106-3,379,39256,965.5,995.6
"Clinton County, OH",39027,2001,White,2106-3,360,39439,912.8,938.7
"Clinton County, OH",39027,2002,Black or African American,2054-5,10,1037,964.3 (Unreliable),1377.6 (Unreliable)
"Clinton County, OH",39027,2002,White,2106-3,340,39714,856.1,873.1
"Clinton County, OH",39027,2003,White,2106-3,374,39876,937.9,945.1
"Clinton County, OH",39027,2004,White,2106-3,385,40091,960.3,967.8
"Clinton County, OH",39027,2005,White,2106-3,370,40272,918.8,919.9
"Clinton County, OH",39027,2006,Black or African American,2054-5,11,1214,906.1 (Unreliable),1241.3 (Unreliable)
"Clinton County, OH",39027,2006,White,2106-3,369,40950,901.1,886
"Clinton County, OH",39027,2007,Black or African American,2054-5,12,1238,969.3 (Unreliable),1542.1 (Unreliable)
"Clinton County, OH",39027,2007,White,2106-3,341,40994,831.8,795.3
"Clinton County, OH",39027,2008,Black or African American,2054-5,12,1259,953.1 (Unreliable),1760.5 (Unreliable)
"Clinton County, OH",39027,2008,White,2106-3,409,41057,996.2,941.9
"Clinton County, OH",39027,2009,White,2106-3,413,40794,1012.4,927.5
"Clinton County, OH",39027,2010,White,2106-3,396,40398,980.2,882.4
"Columbiana County, OH",39029,2000,Black or African American,2054-5,24,2711,885.3,1459.5
"Columbiana County, OH",39029,2000,White,2106-3,1222,108794,1123.2,988.8
"Columbiana County, OH",39029,2001,Black or African American,2054-5,13,2748,473.1 (Unreliable),789.5 (Unreliable)
"Columbiana County, OH",39029,2001,White,2106-3,1153,108070,1066.9,924.5
"Columbiana County, OH",39029,2002,Black or African American,2054-5,27,2763,977.2,1610.9
"Columbiana County, OH",39029,2002,White,2106-3,1233,107756,1144.3,981
"Columbiana County, OH",39029,2003,Black or African American,2054-5,19,2789,681.2 (Unreliable),1107.9 (Unreliable)
"Columbiana County, OH",39029,2003,White,2106-3,1192,107610,1107.7,939.7
"Columbiana County, OH",39029,2004,Black or African American,2054-5,14,2819,496.6 (Unreliable),809.7 (Unreliable)
"Columbiana County, OH",39029,2004,White,2106-3,1163,107204,1084.8,912.3
"Columbiana County, OH",39029,2005,Black or African American,2054-5,20,2858,699.8,1192.3
"Columbiana County, OH",39029,2005,White,2106-3,1204,106299,1132.7,929.9
"Columbiana County, OH",39029,2006,Black or African American,2054-5,11,2870,383.3 (Unreliable),574.8 (Unreliable)
